"X.1","X","Platform","AlbumNo","Album","Song","Streams"
26194,"Kendrick Lamar","Spotify",5,"good_kid,_m.A.A.d_city","Track12",55347769
26195,"Kendrick Lamar","Spotify",5,"good_kid,_m.A.A.d_city","Track13",87657081
26196,"Kendrick Lamar","Spotify",5,"good_kid,_m.A.A.d_city","Track14",400587413
26197,"Kendrick Lamar","Last.fm",5,"good_kid,_m.A.A.d_city","Track1",1660705
26198,"Kendrick Lamar","Last.fm",5,"good_kid,_m.A.A.d_city","Track2",4495672
26199,"Kendrick Lamar","Last.fm",5,"good_kid,_m.A.A.d_city","Track3",4783048
26200,"Kendrick Lamar","Last.fm",5,"good_kid,_m.A.A.d_city","Track4",2753783
26201,"Kendrick Lamar","Last.fm",5,"good_kid,_m.A.A.d_city","Track5",5083384
26202,"Kendrick Lamar","Last.fm",5,"good_kid,_m.A.A.d_city","Track6",3723530
26203,"Kendrick Lamar","Last.fm",5,"good_kid,_m.A.A.d_city","Track7",2372545
26204,"Kendrick Lamar","Last.fm",5,"good_kid,_m.A.A.d_city","Track8",3653348
26205,"Kendrick Lamar","Last.fm",5,"good_kid,_m.A.A.d_city","Track9",2487510
26206,"Kendrick Lamar","Last.fm",5,"good_kid,_m.A.A.d_city","Track10",2317792
26207,"Kendrick Lamar","Last.fm",5,"good_kid,_m.A.A.d_city","Track11",955645
26208,"Kendrick Lamar","Last.fm",5,"good_kid,_m.A.A.d_city","Track12",1014381
26209,"Kendrick Lamar","Last.fm",5,"good_kid,_m.A.A.d_city","Track13",700324
26210,"Kendrick Lamar","Last.fm",5,"good_kid,_m.A.A.d_city","Track14",147357
26211,"Kendrick Lamar","Genius",5,"good_kid,_m.A.A.d_city","Track1",1344029
26212,"Kendrick Lamar","Genius",5,"good_kid,_m.A.A.d_city","Track2",4841652
26213,"Kendrick Lamar","Genius",5,"good_kid,_m.A.A.d_city","Track3",3735339
26214,"Kendrick Lamar","Genius",5,"good_kid,_m.A.A.d_city","Track4",1639502
26215,"Kendrick Lamar","Genius",5,"good_kid,_m.A.A.d_city","Track5",5451023
26216,"Kendrick Lamar","Genius",5,"good_kid,_m.A.A.d_city","Track6",4457803
26217,"Kendrick Lamar","Genius",5,"good_kid,_m.A.A.d_city","Track7",911034
26218,"Kendrick Lamar","Genius",5,"good_kid,_m.A.A.d_city","Track8",6773986
26219,"Kendrick Lamar","Genius",5,"good_kid,_m.A.A.d_city","Track9",6091745
26220,"Kendrick Lamar","Genius",5,"good_kid,_m.A.A.d_city","Track10",2921149
26221,"Kendrick Lamar","Genius",5,"good_kid,_m.A.A.d_city","Track11",1097470
26222,"Kendrick Lamar","Genius",5,"good_kid,_m.A.A.d_city","Track12",545736
26223,"Kendrick Lamar","YouTube",5,"good_kid,_m.A.A.d._city","Track1",744739
26224,"Kendrick Lamar","YouTube",5,"good_kid,_m.A.A.d._city","Track2",171706022
26225,"Kendrick Lamar","YouTube",5,"good_kid,_m.A.A.d._city","Track3",46213610
26226,"Kendrick Lamar","YouTube",5,"good_kid,_m.A.A.d._city","Track4",564203
26227,"Kendrick Lamar","YouTube",5,"good_kid,_m.A.A.d._city","Track5",57123307
26228,"Kendrick Lamar","YouTube",5,"good_kid,_m.A.A.d._city","Track6",134650541
26229,"Kendrick Lamar","YouTube",5,"good_kid,_m.A.A.d._city","Track7",445110
26230,"Kendrick Lamar","YouTube",5,"good_kid,_m.A.A.d._city","Track8",2421397
26231,"Kendrick Lamar","YouTube",5,"good_kid,_m.A.A.d._city","Track9",116334444
26232,"Kendrick Lamar","YouTube",5,"good_kid,_m.A.A.d._city","Track10",8067985
26233,"Kendrick Lamar","YouTube",5,"good_kid,_m.A.A.d._city","Track11",714883
26234,"Kendrick Lamar","YouTube",5,"good_kid,_m.A.A.d._city","Track12",326448
26235,"Kendrick Lamar","YouTube",5,"good_kid,_m.A.A.d._city","Track13",14862715
26236,"Kendrick Lamar","YouTube",5,"good_kid,_m.A.A.d._city","Track14",103469
26237,"Kendrick Lamar","Deezer",6,"To_Pimp_A_Butterfly","Track1",5.66
26238,"Kendrick Lamar","Deezer",6,"To_Pimp_A_Butterfly","Track2",4.76
26239,"Kendrick Lamar","Deezer",6,"To_Pimp_A_Butterfly","Track3",7.07
26240,"Kendrick Lamar","Deezer",6,"To_Pimp_A_Butterfly","Track4",5.34
26241,"Kendrick Lamar","Deezer",6,"To_Pimp_A_Butterfly","Track5",5.53
26242,"Kendrick Lamar","Deezer",6,"To_Pimp_A_Butterfly","Track6",5.18
26243,"Kendrick Lamar","Deezer",6,"To_Pimp_A_Butterfly","Track7",6.67
26244,"Kendrick Lamar","Deezer",6,"To_Pimp_A_Butterfly","Track8",4.56
26245,"Kendrick Lamar","Deezer",6,"To_Pimp_A_Butterfly","Track9",4.51
26246,"Kendrick Lamar","Deezer",6,"To_Pimp_A_Butterfly","Track10",4.61
26247,"Kendrick Lamar","Deezer",6,"To_Pimp_A_Butterfly","Track11",5.3
26248,"Kendrick Lamar","Deezer",6,"To_Pimp_A_Butterfly","Track12",4.61
26249,"Kendrick Lamar","Deezer",6,"To_Pimp_A_Butterfly","Track13",5.07
26250,"Kendrick Lamar","Deezer",6,"To_Pimp_A_Butterfly","Track14",4.52
26251,"Kendrick Lamar","Deezer",6,"To_Pimp_A_Butterfly","Track15",5.07
26252,"Kendrick Lamar","Deezer",6,"To_Pimp_A_Butterfly","Track16",4.5
26253,"Kendrick Lamar","Spotify",6,"To_Pimp_A_Butterfly","Track1",80200526
26254,"Kendrick Lamar","Spotify",6,"To_Pimp_A_Butterfly","Track2",41098223
26255,"Kendrick Lamar","Spotify",6,"To_Pimp_A_Butterfly","Track3",407452165
26256,"Kendrick Lamar","Spotify",6,"To_Pimp_A_Butterfly","Track4",61809283
26257,"Kendrick Lamar","Spotify",6,"To_Pimp_A_Butterfly","Track5",88246368
26258,"Kendrick Lamar","Spotify",6,"To_Pimp_A_Butterfly","Track6",55900797
26259,"Kendrick Lamar","Spotify",6,"To_Pimp_A_Butterfly","Track7",299892074
26260,"Kendrick Lamar","Spotify",6,"To_Pimp_A_Butterfly","Track8",38331903
26261,"Kendrick Lamar","Spotify",6,"To_Pimp_A_Butterfly","Track9",44769411
26262,"Kendrick Lamar","Spotify",6,"To_Pimp_A_Butterfly","Track10",60115827
26263,"Kendrick Lamar","Spotify",6,"To_Pimp_A_Butterfly","Track11",55675639
26264,"Kendrick Lamar","Spotify",6,"To_Pimp_A_Butterfly","Track12",42620746
26265,"Kendrick Lamar","Spotify",6,"To_Pimp_A_Butterfly","Track13",90633293
26266,"Kendrick Lamar","Spotify",6,"To_Pimp_A_Butterfly","Track14",43630539
26267,"Kendrick Lamar","Spotify",6,"To_Pimp_A_Butterfly","Track15",59639808
26268,"Kendrick Lamar","Spotify",6,"To_Pimp_A_Butterfly","Track16",30776851
26269,"Kendrick Lamar","Last.fm",6,"To_Pimp_A_Butterfly","Track1",2500303
26270,"Kendrick Lamar","Last.fm",6,"To_Pimp_A_Butterfly","Track2",1330720
26271,"Kendrick Lamar","Last.fm",6,"To_Pimp_A_Butterfly","Track3",5662252
26272,"Kendrick Lamar","Last.fm",6,"To_Pimp_A_Butterfly","Track4",1737248
26273,"Kendrick Lamar","Last.fm",6,"To_Pimp_A_Butterfly","Track5",2224763
26274,"Kendrick Lamar","Last.fm",6,"To_Pimp_A_Butterfly","Track6",2234717
26275,"Kendrick Lamar","Last.fm",6,"To_Pimp_A_Butterfly","Track7",4907888
